,id,gps2id,start,duraion
297,79,1632,23,3
298,80,1497,0,5
299,80,1496,8,6
300,80,1497,17,4
301,80,1496,22,1
302,81,1546,0,6
303,81,1496,9,6
304,81,1546,18,3
305,81,1447,22,1
306,82,1393,0,6
307,82,1443,9,3
308,82,1342,14,6
309,82,1645,21,2
310,83,1446,1,3
311,83,1444,7,5
312,83,1397,15,8
313,84,1496,0,9
314,84,1497,12,3
315,84,1496,18,5
316,85,383,0,6
317,85,481,9,3
318,85,531,15,6
319,85,481,22,1
320,86,1496,0,8
321,86,1497,11,4
322,86,1496,18,6
323,87,1496,1,6
324,87,1494,10,4
325,87,1496,17,7
326,88,854,0,17
327,88,904,18,2
328,88,805,21,2
329,89,1496,0,17
330,89,1495,18,2
331,89,1496,21,2
332,90,1446,8,9
333,90,1496,19,2
334,90,1495,22,1
335,91,1731,1,3
336,91,275,7,6
337,91,377,16,5
338,91,275,22,1
339,92,1548,6,2
340,92,1446,11,4
341,92,1496,18,4
342,92,1397,23,5
343,93,1496,0,13
344,93,904,16,3
345,93,705,21,2
346,93,555,23,2
347,94,1496,1,3
348,94,1446,7,4
349,94,1496,14,10
350,95,1345,0,13
351,95,1446,16,2
352,95,1446,19,2
353,95,1445,22,1
354,96,531,0,5
355,96,481,8,7
356,96,531,18,2
357,96,1781,21,2
358,97,1497,0,7
359,97,1446,10,5
360,97,1497,18,4
361,97,1496,23,6
362,98,1496,0,1
363,98,884,4,8
364,98,1545,15,6
365,98,1446,22,1
366,99,1397,2,9
367,99,885,14,2
368,99,1397,19,3
369,99,1447,23,3
370,100,1347,2,2
371,100,1346,5,4
372,100,1396,12,5
373,100,1343,20,2
374,100,1344,22,2
375,101,1496,0,7
376,101,1446,9,4
377,101,1496,15,4
378,101,1497,22,1
379,102,1394,1,4
380,102,1344,7,6
381,102,1394,16,4
382,102,1495,21,2
383,103,854,0,14
384,103,855,16,2
385,103,854,20,4
386,104,855,0,6
387,104,905,9,4
388,104,855,16,4
389,104,905,21,2
390,105,1446,0,7
391,105,1447,9,4
392,105,1446,14,4
393,105,1447,19,2
394,105,1396,22,1
395,106,1644,0,13
396,106,1694,16,2
397,106,1644,20,2
398,106,1645,23,2
399,107,1546,0,6
400,107,1496,9,6
401,107,1497,18,3
402,107,1496,22,2
403,108,1546,0,8
404,108,1496,11,4
405,108,1397,18,4
406,108,1497,23,4
407,109,1546,0,9
408,109,1496,12,4
409,109,1497,19,3
410,109,1547,23,3
411,110,1497,0,6
412,110,938,9,7
413,110,887,19,4
414,111,1546,0,13
415,111,1545,15,2
416,111,1546,20,3
417,112,964,0,6
418,112,963,8,6
419,112,964,16,3
420,112,963,19,3
421,112,964,22,2
422,113,1496,0,9
423,113,1445,12,3
424,113,1495,18,3
425,113,1445,22,2
426,114,1464,0,6
427,114,1362,9,4
428,114,1363,15,4
429,114,1578,21,2
430,115,1496,0,17
431,115,755,18,2
432,115,1546,21,2
433,116,180,1,3
434,116,178,6,6
435,116,180,15,5
436,116,178,21,2
437,117,1497,1,7
438,117,1496,11,5
439,117,1497,19,4
440,118,854,0,13
441,118,805,16,3
442,118,757,22,2
443,119,1546,0,9
444,119,1496,12,4
445,119,1546,19,4
446,120,1544,2,8
447,120,1594,12,2
448,120,1544,15,4
449,120,1495,20,2
450,120,1676,23,4
451,121,805,0,9
452,121,1008,11,3
453,121,855,17,4
454,121,805,22,2
455,122,1497,0,1
456,122,1496,4,8
457,122,1497,15,4
458,122,1496,22,2
459,123,656,0,3
460,123,704,6,7
461,123,656,15,3
462,123,705,21,2
463,124,1546,0,1
464,124,1497,3,9
465,124,1397,15,4
466,124,1496,21,3
467,125,1345,2,3
468,125,1546,8,7
469,125,1546,17,4
470,125,1496,22,2
471,126,1445,0,6
472,126,1497,7,5
473,126,1446,15,7
474,126,1497,23,4
475,127,1496,0,2
476,127,1446,4,7
477,127,1496,13,4
478,127,1446,19,3
479,127,1496,23,4
480,128,1490,1,2
481,128,1494,6,4
482,128,1493,13,8
483,128,1544,22,1
484,129,1496,0,13
485,129,1497,16,3
486,129,1496,22,2
487,130,1497,0,9
488,130,1496,12,4
489,130,1497,19,3
490,130,1496,23,4
491,131,755,0,8
492,131,804,10,4
493,131,755,17,4
494,131,804,22,3
495,132,1295,10,1
496,132,1447,14,4
497,132,1496,20,3
498,133,804,0,8
499,133,705,11,3
500,133,804,17,5
501,133,805,23,4
502,134,1008,1,9
503,134,1108,12,3
504,134,804,17,4
505,134,805,22,1
506,135,1495,0,12
507,135,1447,14,3
508,135,1496,19,4
509,136,1548,3,5
510,136,1547,11,5
511,136,1497,19,3
512,136,1547,23,3
513,137,1446,0,14
514,137,1396,17,2
515,137,1446,20,2
516,137,1496,23,3
517,138,1545,0,1
518,138,1497,4,8
519,138,1545,15,6
520,138,1497,22,1
521,139,1446,0,7
522,139,1540,9,4
523,139,1444,14,6
524,139,1443,20,3
525,140,1495,0,14
526,140,1496,15,3
527,140,1495,19,2
528,140,1496,22,2
529,141,1497,0,4
530,141,1496,7,8
531,141,1497,18,4
532,141,1344,23,5
533,142,180,0,11
534,142,178,13,2
535,142,180,16,3
536,142,178,20,3
537,143,1497,1,6
538,143,1496,10,6
539,143,1497,19,3
540,143,1496,23,3
541,144,1546,0,5
542,144,1444,8,5
543,144,1445,16,5
544,144,1546,22,1
545,145,1497,5,1
546,145,1496,9,5
547,145,1497,17,3
548,145,1496,22,2
549,146,1496,0,10
550,146,1546,13,3
551,146,1496,19,4
552,147,1547,0,10
553,147,1496,13,3
554,147,1497,19,3
555,147,1596,23,2
556,148,1073,0,4
557,148,1241,5,4
558,148,1496,12,7
559,148,1546,22,2
560,149,804,1,8
561,149,804,11,3
562,149,855,17,7
563,150,1446,0,8
564,150,1547,10,4
565,150,1497,17,3
566,150,1547,23,3
567,151,641,0,7
568,151,591,8,3
569,151,692,12,4
570,151,591,19,4
571,152,855,0,9
572,152,805,12,3
573,152,804,18,6
574,153,1496,0,14
575,153,1547,17,2
576,153,1496,20,3
577,154,1496,0,13
578,154,1040,16,3
579,154,1496,22,3
580,155,1496,0,11
581,155,1497,14,3
582,155,1496,20,4
583,156,1496,0,9
584,156,1546,12,3
585,156,1987,18,4
586,156,1546,23,4
587,157,1496,0,6
588,157,1446,8,6
589,157,1595,16,5
590,157,1546,22,1
591,158,1496,0,9
592,158,1346,12,3
593,158,1546,18,4
594,158,1344,23,3
595,159,1495,1,7
596,159,1496,10,5
597,159,1446,18,4
598,159,1496,23,3
599,160,1496,2,10
600,160,1397,15,3
601,160,1496,21,4
602,161,904,7,2
603,161,556,10,3
604,161,1006,15,6
605,161,804,22,2
606,162,1496,2,13
607,162,1497,18,3
608,162,1496,22,2
609,163,1497,0,16
610,163,1547,19,2
611,163,1497,22,3
612,164,1344,0,4
613,164,1294,7,5
614,164,1344,13,6
615,164,1345,20,3
616,165,1496,0,16
617,165,1546,19,2
618,165,1397,22,1
619,166,1344,0,8
620,166,1345,11,3
621,166,1344,17,5
622,166,1394,23,2
623,167,1494,0,6
624,167,1008,9,3
625,167,705,13,5
626,167,805,21,2
627,168,1545,0,1
628,168,1546,4,7
629,168,1545,13,5
630,168,1544,21,3
631,169,479,0,5
632,169,175,8,4
633,169,1730,13,5
634,169,1781,19,4
635,170,705,0,13
636,170,806,15,3
637,170,804,20,2
638,170,805,23,2
639,171,1496,0,13
640,171,1446,15,3
641,171,1496,20,3
642,172,1446,0,9
643,172,1497,12,3
644,172,1446,18,4
645,172,1447,22,1
646,172,1446,23,2
647,173,427,0,9
648,173,1006,12,3
649,173,1571,16,3
650,173,1314,21,3
651,174,855,9,5
652,174,854,15,3
653,174,855,20,2
654,174,854,23,2
655,175,1495,3,7
656,175,1496,12,5
657,175,1495,19,3
658,175,1496,23,4
659,176,1546,0,7
660,176,1496,10,5
661,176,1546,18,4
662,176,1496,23,3
663,177,1546,0,6
664,177,1544,9,5
665,177,1546,17,4
666,177,1497,22,1
667,178,1496,0,7
668,178,1595,9,4
669,178,1496,16,5
670,178,1546,22,1
671,179,1445,1,10
672,179,1495,14,3
673,179,1445,20,2
674,179,1496,23,2
675,180,1345,1,4
676,180,1344,8,8
677,180,1345,19,4
678,181,1346,0,9
679,181,1447,12,3
680,181,1346,18,3
681,181,1397,22,2
682,182,1497,1,8
683,182,1496,12,4
684,182,1445,19,4
685,183,1446,0,9
686,183,1496,11,4
687,183,1446,17,5
688,183,1496,23,3
689,184,955,0,13
690,184,904,14,3
691,184,804,19,5
692,185,790,0,6
693,185,886,7,2
694,185,1445,12,5
695,185,1546,20,3
